district,2016,2017,2018
Agra,11324,18185,66867
Aligarh,3556,46179,47460
Ambedkar Nagar,527,3224,4497
Amethi,864,1172,3095
Auraiya,905,16902,12082
Ayodhya,2273,11179,16418
Azamgarh,2103,7146,7349
Badaun,3873,11572,15021
Baghpat,766,3110,15769
Bahraich,2733,16627,13749
Ballia,1483,12933,9872
Balrampur,942,1739,1589
Banda,703,5384,2692
Barabanki,1689,23363,23569
Bareilly,7637,50910,83342
Basti,1296,3074,5439
Bhadohi,529,2892,3212
Bijnor,3684,24873,9139
Bulandshahar,3638,22989,79833
Chandauli,1254,1854,4547
Chitrakoot,308,1655,2106
Deoria,2753,6547,6546
Etah,2858,33239,30939
Etawah,1562,5972,10942
Fatehgarh,1493,4918,17755
Fatehpur,3390,14238,7762
Firozabad,5384,12380,32635
Gautam Budh Nagar,6119,24048,27281
Ghaziabad,9316,36576,71001
Ghazipur,1062,5971,2790
Gonda,2949,10980,9782
Gorakhpur,6321,17123,30002
Hamirpur,570,5072,3015
Hapur,1740,3055,4088
Hardoi,5771,23502,17369
Hathras,1329,7233,10865
Jalaun,1052,9205,8795
Jaunpur,1377,12030,7613
Jhansi,2169,17413,16743
Jyotibaphulleynagar,1288,8763,6127
Kannauj,1104,3715,3548
Kanpur City,6294,42298,35902
Kanpur Dehat,1885,15979,26531
Kasganj,1039,6001,4646
Kaushambi,701,3501,6044
Kheri,2807,22978,15426
Kushi Nagar,4011,11238,11816
Lalitpur,1301,15969,7795
Lucknow,14515,32269,38890
Mahoba,196,3212,2013
Mahrajganj,1792,5703,5071
Mainpuri,4275,17430,13537
Mathura,4662,27918,74271
Mau,896,5319,4082
Meerut,5691,46853,74729
Mirzapur,1537,22297,15282
Moradabad,8269,17175,15537
Muzaffar Nagar,5692,13518,12418
Pilibhit,1450,6789,6623
Pratapgarh,2093,7684,15815
Prayagraj,9144,42501,132948
Rae Bareli,1567,9021,23312
Rampur,3117,25407,9918
Saharanpur,4570,19199,43484
Sambhal,2458,6644,2155
Sant Kabeer Nagar,665,5354,2053
Shahjahanpur,4017,40399,18609
Shamli,1402,4862,6517
Shravasti,537,1818,1944
Siddharth Nagar,711,3819,2940
Sitapur,3109,26452,7460
Sonbhadra,449,5871,6089
Sultanpur,2371,2967,5357
Unnao,2307,11026,10328
Varanasi,2401,50746,19935
