district,2016,2017,2018
Agra,4058,18628,87909
Aligarh,6280,34474,218763
Ambedkar Nagar,580,2936,4435
Amethi,316,1241,4550
Auraiya,2801,11112,13737
Ayodhya,2444,10543,20782
Azamgarh,1913,7294,7164
Badaun,4474,10843,15277
Baghpat,320,2951,20362
Bahraich,1899,15466,17674
Ballia,1560,12569,7263
Balrampur,526,1849,1533
Banda,824,5031,4508
Barabanki,3585,20285,31537
Bareilly,9177,46534,143579
Basti,1059,2930,6782
Bhadohi,444,2571,3090
Bijnor,4313,18039,23633
Bulandshahar,4874,19827,79954
Chandauli,574,2037,5835
Chitrakoot,129,1556,3051
Deoria,1397,6225,6845
Etah,3972,29290,23060
Etawah,90,3555,21347
Fatehgarh,917,3619,24534
Fatehpur,2480,10114,7544
Firozabad,4098,11681,32952
Gautam Budh Nagar,7008,22881,29559
Ghaziabad,11550,32825,61821
Ghazipur,1362,5535,2440
Gonda,2872,11049,9650
Gorakhpur,3914,16605,40377
Hamirpur,731,4880,3017
Hapur,1083,2808,9684
Hardoi,6903,20005,27427
Hathras,1419,6715,13794
Jalaun,834,7694,12193
Jaunpur,2116,7556,25246
Jhansi,1487,17706,20184
Jyotibaphulleynagar,579,6837,10350
Kannauj,450,3336,3405
Kanpur City,3707,40783,65836
Kanpur Dehat,2757,14061,35097
Kasganj,964,5485,5747
Kaushambi,790,3291,6353
Kheri,3950,20502,15707
Kushi Nagar,3732,9937,9688
Lalitpur,1154,14244,10307
Lucknow,13306,33073,37666
Mahoba,332,2850,2745
Mahrajganj,1643,5696,5050
Mainpuri,3600,15970,18671
Mathura,4600,26289,101058
Mau,1117,5041,4100
Meerut,7922,40553,88961
Mirzapur,3189,18979,8737
Moradabad,3660,14550,20856
Muzaffar Nagar,1054,9788,30428
Pilibhit,1638,6404,7499
Pratapgarh,663,7382,22240
Prayagraj,9447,38794,86584
Rae Bareli,1867,8241,23858
Rampur,4164,22698,11648
Saharanpur,4494,18275,38445
Sambhal,2258,6036,1747
Sant Kabeer Nagar,813,4938,4372
Shahjahanpur,7996,29826,22015
Shamli,777,4356,6901
Shravasti,446,1821,3411
Siddharth Nagar,666,3330,3240
Sitapur,3857,22347,19159
Sonbhadra,727,4209,4579
Sultanpur,2575,2431,3384
Unnao,2718,9656,16800
Varanasi,6472,20103,22465
