district,ps,reg_year,reg_month,count
AGRA,ACHHNERA,2016,1,29
AGRA,ACHHNERA,2016,2,36
AGRA,ACHHNERA,2016,3,48
AGRA,ACHHNERA,2016,4,28
AGRA,ACHHNERA,2016,5,45
AGRA,ACHHNERA,2016,6,47
AGRA,ACHHNERA,2016,7,37
AGRA,ACHHNERA,2016,8,36
AGRA,ACHHNERA,2016,9,42
AGRA,ACHHNERA,2016,10,44
AGRA,ACHHNERA,2016,11,28
AGRA,ACHHNERA,2016,12,33
AGRA,ACHHNERA,2017,1,36
AGRA,ACHHNERA,2017,2,11
AGRA,ACHHNERA,2017,3,28
AGRA,ACHHNERA,2017,4,22
AGRA,ACHHNERA,2017,5,32
AGRA,ACHHNERA,2017,6,29
AGRA,ACHHNERA,2017,7,92
AGRA,ACHHNERA,2017,8,72
AGRA,ACHHNERA,2017,9,58
AGRA,ACHHNERA,2017,10,66
AGRA,ACHHNERA,2017,11,37
AGRA,ACHHNERA,2017,12,34
AGRA,ACHHNERA,2018,1,92
AGRA,ACHHNERA,2018,2,168
AGRA,ACHHNERA,2018,3,51
AGRA,ACHHNERA,2018,4,41
AGRA,ACHHNERA,2018,5,67
AGRA,ACHHNERA,2018,6,58
AGRA,ACHHNERA,2018,7,83
AGRA,ACHHNERA,2018,8,70
AGRA,ACHHNERA,2018,9,69
AGRA,ACHHNERA,2018,10,82
AGRA,ACHHNERA,2018,11,36
AGRA,ACHHNERA,2018,12,69
AGRA,BAH,2016,1,19
AGRA,BAH,2016,2,26
AGRA,BAH,2016,3,25
AGRA,BAH,2016,4,31
AGRA,BAH,2016,5,34
AGRA,BAH,2016,6,20
AGRA,BAH,2016,7,24
AGRA,BAH,2016,8,55
AGRA,BAH,2016,9,28
AGRA,BAH,2016,10,37
AGRA,BAH,2016,11,14
AGRA,BAH,2016,12,24
AGRA,BAH,2017,1,44
AGRA,BAH,2017,2,18
AGRA,BAH,2017,3,26
AGRA,BAH,2017,4,33
AGRA,BAH,2017,5,31
AGRA,BAH,2017,6,17
AGRA,BAH,2017,7,27
AGRA,BAH,2017,8,49
AGRA,BAH,2017,9,16
AGRA,BAH,2017,10,39
AGRA,BAH,2017,11,12
AGRA,BAH,2017,12,30
AGRA,BAH,2018,1,22
AGRA,BAH,2018,2,24
AGRA,BAH,2018,3,27
AGRA,BAH,2018,4,24
AGRA,BAH,2018,5,33
AGRA,BAH,2018,6,75
AGRA,BAH,2018,7,21
AGRA,BAH,2018,8,35
AGRA,BAH,2018,9,15
AGRA,BAH,2018,10,21
AGRA,BAH,2018,11,26
AGRA,BAH,2018,12,19
AGRA,BARHAN,2016,1,11
AGRA,BARHAN,2016,2,5
AGRA,BARHAN,2016,3,11
AGRA,BARHAN,2016,4,12
AGRA,BARHAN,2016,5,11
AGRA,BARHAN,2016,6,18
AGRA,BARHAN,2016,7,16
AGRA,BARHAN,2016,8,15
AGRA,BARHAN,2016,9,26
AGRA,BARHAN,2016,10,14
AGRA,BARHAN,2016,11,11
AGRA,BARHAN,2016,12,9
AGRA,BARHAN,2017,1,11
AGRA,BARHAN,2017,2,10
AGRA,BARHAN,2017,3,15
AGRA,BARHAN,2017,4,14
AGRA,BARHAN,2017,5,13
AGRA,BARHAN,2017,6,10
AGRA,BARHAN,2017,7,17
AGRA,BARHAN,2017,8,24
AGRA,BARHAN,2017,9,35
AGRA,BARHAN,2017,10,21
AGRA,BARHAN,2017,11,28
AGRA,BARHAN,2017,12,29
AGRA,BARHAN,2018,1,39
AGRA,BARHAN,2018,2,28
AGRA,BARHAN,2018,3,28
AGRA,BARHAN,2018,4,13
AGRA,BARHAN,2018,5,34
AGRA,BARHAN,2018,6,46
AGRA,BARHAN,2018,7,31
AGRA,BARHAN,2018,8,29
AGRA,BARHAN,2018,9,21
AGRA,BARHAN,2018,10,24
AGRA,BARHAN,2018,11,28
AGRA,BARHAN,2018,12,23
AGRA,BASAI ARELA,2016,1,0
AGRA,BASAI ARELA,2016,2,5
AGRA,BASAI ARELA,2016,3,2
AGRA,BASAI ARELA,2016,4,2
AGRA,BASAI ARELA,2016,5,7
AGRA,BASAI ARELA,2016,6,10
AGRA,BASAI ARELA,2016,7,2
AGRA,BASAI ARELA,2016,8,7
AGRA,BASAI ARELA,2016,9,9
AGRA,BASAI ARELA,2016,10,3
AGRA,BASAI ARELA,2016,11,8
AGRA,BASAI ARELA,2016,12,4
AGRA,BASAI ARELA,2017,1,4
AGRA,BASAI ARELA,2017,2,5
AGRA,BASAI ARELA,2017,3,6
AGRA,BASAI ARELA,2017,4,6
AGRA,BASAI ARELA,2017,5,7
AGRA,BASAI ARELA,2017,6,4
AGRA,BASAI ARELA,2017,7,4
AGRA,BASAI ARELA,2017,8,10
AGRA,BASAI ARELA,2017,9,8
AGRA,BASAI ARELA,2017,10,2
AGRA,BASAI ARELA,2017,11,4
AGRA,BASAI ARELA,2017,12,15
AGRA,BASAI ARELA,2018,1,10
AGRA,BASAI ARELA,2018,2,10
AGRA,BASAI ARELA,2018,3,4
AGRA,BASAI ARELA,2018,4,9
AGRA,BASAI ARELA,2018,5,4
AGRA,BASAI ARELA,2018,6,3
AGRA,BASAI ARELA,2018,7,5
AGRA,BASAI ARELA,2018,8,2
AGRA,BASAI ARELA,2018,9,6
AGRA,BASAI ARELA,2018,10,10
AGRA,BASAI ARELA,2018,11,5
AGRA,BASAI ARELA,2018,12,8
AGRA,BASAI JAGNER,2016,1,4
AGRA,BASAI JAGNER,2016,2,3
AGRA,BASAI JAGNER,2016,3,0
AGRA,BASAI JAGNER,2016,4,3
