district,reg_year,reg_month,count
Agra,2016,1,1235
Agra,2016,2,1192
Agra,2016,3,1160
Agra,2016,4,1160
Agra,2016,5,1409
Agra,2016,6,1602
Agra,2016,7,1452
Agra,2016,8,1526
Agra,2016,9,1340
Agra,2016,10,1434
Agra,2016,11,1137
Agra,2016,12,1217
Agra,2017,1,1186
Agra,2017,2,937
Agra,2017,3,1248
Agra,2017,4,1240
Agra,2017,5,1363
Agra,2017,6,1347
Agra,2017,7,1523
Agra,2017,8,1771
Agra,2017,9,1609
Agra,2017,10,1647
Agra,2017,11,1420
Agra,2017,12,1437
Agra,2018,1,1542
Agra,2018,2,1911
Agra,2018,3,1767
Agra,2018,4,1410
Agra,2018,5,1925
Agra,2018,6,1835
Agra,2018,7,1729
Agra,2018,8,1707
Agra,2018,9,1498
Agra,2018,10,1749
Agra,2018,11,1434
Agra,2018,12,1423
Aligarh,2016,1,801
Aligarh,2016,2,808
Aligarh,2016,3,858
Aligarh,2016,4,813
Aligarh,2016,5,831
Aligarh,2016,6,775
Aligarh,2016,7,850
Aligarh,2016,8,984
Aligarh,2016,9,917
Aligarh,2016,10,910
Aligarh,2016,11,767
Aligarh,2016,12,805
Aligarh,2017,1,740
Aligarh,2017,2,595
Aligarh,2017,3,1257
Aligarh,2017,4,1179
Aligarh,2017,5,979
Aligarh,2017,6,974
Aligarh,2017,7,1217
Aligarh,2017,8,1324
Aligarh,2017,9,1423
Aligarh,2017,10,1487
Aligarh,2017,11,1051
Aligarh,2017,12,1053
Aligarh,2018,1,1196
Aligarh,2018,2,1265
Aligarh,2018,3,1259
Aligarh,2018,4,1120
Aligarh,2018,5,1532
Aligarh,2018,6,1423
Aligarh,2018,7,1326
Aligarh,2018,8,1265
Aligarh,2018,9,1122
Aligarh,2018,10,1275
Aligarh,2018,11,1027
Aligarh,2018,12,1281
Ambedkar Nagar,2016,1,162
Ambedkar Nagar,2016,2,125
Ambedkar Nagar,2016,3,186
Ambedkar Nagar,2016,4,141
Ambedkar Nagar,2016,5,198
Ambedkar Nagar,2016,6,201
Ambedkar Nagar,2016,7,222
Ambedkar Nagar,2016,8,184
Ambedkar Nagar,2016,9,148
Ambedkar Nagar,2016,10,185
Ambedkar Nagar,2016,11,201
