district,reg_year,reg_month,count_lag_month,count_lag_year,count,male_15_24yr_2011,total_population_2011,sex_ratio_2011,total_non_worker,gdp_2011_12,class
Agra,2016,1,1235,1235,1235,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2016,2,1235,1192,1192,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2016,3,1192,1160,1160,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2016,4,1160,1160,1160,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2016,5,1160,1409,1409,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2016,6,1409,1602,1602,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2016,7,1602,1452,1452,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2016,8,1452,1526,1526,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2016,9,1526,1340,1340,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2016,10,1340,1434,1434,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2016,11,1434,1137,1137,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2016,12,1137,1217,1217,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2017,1,1217,1235,1186,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2017,2,1186,1192,937,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2017,3,937,1160,1248,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2017,4,1248,1160,1240,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2017,5,1240,1409,1363,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2017,6,1363,1602,1347,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2017,7,1347,1452,1523,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2017,8,1523,1526,1771,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2017,9,1771,1340,1609,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2017,10,1609,1434,1647,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2017,11,1647,1137,1420,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2017,12,1420,1217,1437,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2018,1,1437,1186,1542,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2018,2,1542,937,1911,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2018,3,1911,1248,1767,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2018,4,1767,1240,1410,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2018,5,1410,1363,1925,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2018,6,1925,1347,1835,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2018,7,1835,1523,1729,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2018,8,1729,1771,1707,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2018,9,1707,1609,1498,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2018,10,1498,1647,1749,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2018,11,1749,1420,1434,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Agra,2018,12,1434,1437,1423,588704.0,4558268.0,844.0,3028953.0,13058.94,2
Aligarh,2016,1,801,801,801,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2016,2,801,808,808,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2016,3,808,858,858,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2016,4,858,813,813,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2016,5,813,831,831,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2016,6,831,775,775,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2016,7,775,850,850,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2016,8,850,984,984,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2016,9,984,917,917,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2016,10,917,910,910,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2016,11,910,767,767,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2016,12,767,805,805,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2017,1,805,801,740,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2017,2,740,808,595,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2017,3,595,858,1257,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2017,4,1257,813,1179,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2017,5,1179,831,979,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2017,6,979,775,974,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2017,7,974,850,1217,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2017,8,1217,984,1324,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2017,9,1324,917,1423,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2017,10,1423,910,1487,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2017,11,1487,767,1051,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2017,12,1051,805,1053,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2018,1,1053,740,1196,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2018,2,1196,595,1265,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2018,3,1265,1257,1259,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2018,4,1259,1179,1120,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2018,5,1120,979,1532,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2018,6,1532,974,1423,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2018,7,1423,1217,1326,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2018,8,1326,1324,1265,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2018,9,1265,1423,1122,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2018,10,1122,1487,1275,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2018,11,1275,1051,1027,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Aligarh,2018,12,1027,1053,1281,446134.0,3506403.0,859.0,2499528.0,9089.34,8
Ambedkar Nagar,2016,1,162,162,162,243522.0,2406482.0,984.0,1610490.0,3272.78,3
Ambedkar Nagar,2016,2,162,125,125,243522.0,2406482.0,984.0,1610490.0,3272.78,3
Ambedkar Nagar,2016,3,125,186,186,243522.0,2406482.0,984.0,1610490.0,3272.78,3
Ambedkar Nagar,2016,4,186,141,141,243522.0,2406482.0,984.0,1610490.0,3272.78,3
Ambedkar Nagar,2016,5,141,198,198,243522.0,2406482.0,984.0,1610490.0,3272.78,3
Ambedkar Nagar,2016,6,198,201,201,243522.0,2406482.0,984.0,1610490.0,3272.78,3
