district,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11
 Agra,"7,101.89","7,770.26","8,441.22","9,143.43","9,684.15","11,234.70","12,187.12","13,058.94",9.411156748,8.634974891,8.318821213,5.913754466,16.0112142,8.477484935
 Aligarh,"5,434.82","5,840.61","6,382.80","6,679.98","7,230.24","7,593.92","8,596.72","9,089.34",7.466484631,9.283105703,4.655950367,8.237449813,5.029985173,13.20530108
 Allahabad,"7,847.18","8,471.30","8,776.01","9,942.38","10,481.56","10,790.97","12,650.46","12,755.14",7.953430404,3.596968588,13.29043609,5.4230476,2.951946084,17.23190779
 Ambedkar Nagar,"1,906.25","2,171.11","2,341.90","2,589.13","2,864.45","2,926.78","3,236.10","3,272.78",13.89429508,7.866483043,10.55681284,10.63368776,2.175984919,10.56861124
 Amethi,,,,,,,"2,910.09","3,026.51",,,,,,
 Amorha,"3,596.34","3,667.68","3,623.49","3,904.71","4,268.96","4,308.30","4,101.77","5,597.33",1.983683411,-1.204848842,7.761025972,9.328477659,0.921535924,-4.793770165
Auraiyya,"1,473.03","1,632.60","1,734.42","2,142.50","2,371.08","2,270.85","2,442.36","3,126.83",10.83277326,6.236677692,23.52832647,10.66884481,-4.227187611,7.552678512
Azamgarh,"3,417.70","3,992.32","4,278.19","4,264.95","4,730.12","5,270.39","6,162.94","5,379.55",16.81306142,7.160498156,-0.309476671,10.90681016,11.42190896,16.93517937
Badaun,"4,263.14","5,120.55","5,195.83","5,996.27","6,414.26","6,597.43","6,311.94","7,076.29",20.11217084,1.470154573,15.40543089,6.970833535,2.855668464,-4.327291082
Bagpat,"2,907.27","2,855.07","3,067.56","3,287.82","3,472.15","3,842.62","4,411.91","4,253.67",-1.79549887,7.44254957,7.180299652,5.606450475,10.66975793,14.81515216
Bahraich,"2,590.73","2,774.10","2,924.87","3,003.90","3,168.77","3,353.63","3,456.30","3,630.16",7.077927843,5.434915829,2.702000431,5.488531576,5.833809333,3.061458778
Ballia,"2,359.45","2,719.46","2,909.24","3,244.73","3,517.27","3,557.83","4,247.48","4,602.92",15.25821696,6.978591338,11.53187774,8.399466211,1.153167087,19.38400654
Balrampur,"1,978.89","1,992.72","2,223.19","2,185.79","2,263.37","2,296.96","2,356.37","3,132.64",0.698876643,11.56559878,-1.682267373,3.549288815,1.484070214,2.586462106
Banda,"1,891.85","1,987.92","2,102.93","2,094.77","2,445.88","2,528.93","2,927.16","3,169.17",5.078098158,5.785444082,-0.388030034,16.76126735,3.395505912,15.74697599
Barabanki,"4,795.01","4,622.29","4,710.74","4,929.10","4,671.32","5,223.77","5,545.19","4,918.11",-3.602077994,1.913553671,4.635365144,-5.229757968,11.82642165,6.153027411
Bareilly,"6,136.90","6,511.27","6,816.16","7,578.43","7,950.44","8,520.60","8,854.48","11,135.14",6.100311232,4.682496656,11.18327621,4.908800372,7.17142699,3.918503392
Basti,"2,086.17","2,215.82","2,361.44","2,501.26","2,535.29","2,711.57","2,860.15","3,181.55",6.214738013,6.571833452,5.92096348,1.360514301,6.953050736,5.479482366
Bijnor,"6,668.45","6,901.40","7,166.34","8,477.40","8,479.08","9,071.25","9,063.89","9,192.19",3.493315538,3.838931231,18.29469436,0.019817397,6.983894479,-0.081135455
Buland Shahar,"6,879.96","6,628.83","7,434.11","7,872.47","8,333.73","8,873.95","9,665.14","10,288.18",-3.650166571,12.14814681,5.896603628,5.85915221,6.482331441,8.915871737
Chandauli,"2,075.06","2,255.85","2,460.32","2,661.70","2,884.58","2,805.92","3,104.72","3,539.14",8.712519156,9.063989184,8.185114131,8.373595822,-2.72691345,10.64891373
Chitrakoot,749.71,795.06,758.16,789.94,"1,020.94","1,082.51","1,180.31","2,935.48",6.049005616,-4.641159158,4.19172734,29.2427273,6.03071679,9.034558572
Deoria,"2,418.19","2,419.45","2,587.97","2,859.00","2,991.92","3,041.17","3,576.14","3,883.06",0.052105087,6.965219368,10.47268709,4.649178034,1.646100163,17.59092718
Etah,"4,067.12","4,427.70","4,588.65","5,028.99","3,251.19","3,101.52","3,367.58","3,595.60",8.865733,3.635070127,9.596286489,-35.3510347,-4.603545163,8.578374474
Etawah,"1,996.44","1,936.16","2,105.16","2,266.24","2,416.26","2,473.22","2,684.17","3,027.12",-3.019374487,8.72861747,7.651674932,6.619775487,2.357362204,8.529366575
Faizabad,"2,310.48","2,599.77","2,682.82","3,091.21","3,529.43","3,691.55","4,314.09","4,373.02",12.5207749,3.194513361,15.22241522,14.17632578,4.593376268,16.86391895
Farrukhabad,"2,345.23","2,502.01","2,555.31","2,733.23","2,887.08","3,204.80","3,557.79","3,364.40",6.685058608,2.130287249,6.962755987,5.628871335,11.00489075,11.01441588
Fatehpur,"2,660.54","2,833.40","2,957.77","3,303.88","3,586.40","3,669.88","4,291.54","4,597.96",6.497177265,4.389426131,11.70172123,8.551158032,2.327682356,16.93951846
Firozabad,"3,048.03","3,354.09","3,692.81","3,945.38","4,233.16","4,501.77","4,764.20","4,861.69",10.04123975,10.0987153,6.839507042,7.294100948,6.345377921,5.829484847
Gautambudh nagar,"7,353.30","7,527.62","11,730.19","12,628.99","13,111.40","14,155.71","13,833.78","17,223.71",2.370636313,55.82866829,7.66227998,3.819862079,7.964900773,-2.274205956
