district,Total_Population_2011,Total_Population_2016
Agra,4558268,5051592
Aligarh,3506403,3749899
Allahabad,5912586,6395295
Ambedkar Nagar,2406482,2591371
Auraiya,1288008,1324565
Azamgarh,4790354,5220367
Baghpat,1247389,1268771
Bahraich,3005860,3336138
Ballia,3224020,3441599
Balrampur,1965716,2099346
Banda,1742857,1831474
Barabanki,3220419,3487024
Bareilly,4448154,4873511
Basti,2446057,2617843
Bijnor,3813533,4158849
Budaun,3710639,4032268
Bulandshahr,3513748,3813792
Chandauli,2037474,2242231
Chitrakoot,1046517,1202627
Deoria,3256162,3525787
Etah,3328782,3593143
Etawah,1561972,1666773
Faizabad,2483909,2676950
Farrukhabad,1829759,1949218
Fatehpur,2681923,2852485
Firozabad,2718476,3077712
Gautam Buddha Nagar,1544010,1724238
Ghaziabad,4645670,5401157
Ghazipur,3683500,4002494
Gonda,3298276,3555689
Gorakhpur,4419018,4720678
Hamirpur,1153708,1195242
Hardoi,4017806,4312716
Hathras,1504828,1573798
Jalaun,1621418,1686147
Jaunpur,4567012,4874633
Jhansi,2050222,2196208
Jyotiba Phule Nagar,1875526,2072341
Kannauj,1552125,1617633
Kanpur Dehat,1836356,1966637
Kanpur Nagar,5091066,5561195
Kaushambi,1581184,1727991
Kheri,4185108,4715488
Kushinagar,3547117,3881738
Lalitpur,1218075,1343489
Lucknow,4603138,5107496
Maharajganj,2732195,3026067
Mahoba,818646,869275
Mainpuri,1838892,1948730
Mathura,2570289,2826854
Mau,2271780,2485347
Meerut,3561107,3835461
Mirzapur,2555657,2776070
Moradabad,4532090,4883475
Muzaffarnagar,4206521,4529268
Pilibhit,2029111,2226812
Pratapgarh,3241309,3489357
Rae Bareli,3409507,3671063
Rampur,2367675,2595361
Saharanpur,3380201,3606855
Sant Kabir Nagar,1665097,1781220
Sant Ravidas Nagar Bhadohi,1554919,1645218
Shahjahanpur,3138569,3442488
Shrawasti,1456677,1602106
Siddharthnagar,2512597,2755769
Sitapur,4400680,4796375
Sonbhadra,1895002,2127801
Sultanpur,3813601,4104860
Unnao,3181506,3412364
Varanasi,3706228,3979681
