district,sex_ratio_2011,sex_ratio_2016
Agra,844,845
Aligarh,859,861
Allahabad,875,875
Ambedkar Nagar,984,984
Auraiya,851,851
Azamgarh,1031,1034
Baghpat,846,846
Bahraich,862,862
Ballia,959,961
Balrampur,896,896
Banda,853,854
Barabanki,881,877
Bareilly,867,865
Basti,942,941
Bijnor,893,892
Budaun,838,838
Bulandshahr,879,882
Chandauli,920,922
Chitrakoot,866,866
Deoria,1012,1014
Etah,845,846
Etawah,854,855
Faizabad,941,941
Farrukhabad,842,840
Fatehpur,888,887
Firozabad,846,845
Gautam Buddha Nagar,834,832
Ghaziabad,856,853
Ghazipur,981,982
Gonda,906,904
Gorakhpur,964,963
Hamirpur,845,847
Hardoi,835,834
Hathras,851,850
Jalaun,842,841
Jaunpur,1025,1030
Jhansi,867,869
Jyotiba Phule Nagar,883,883
Kannauj,862,862
Kanpur Dehat,845,845
Kanpur Nagar,849,848
Kaushambi,892,892
Kheri,887,887
Kushinagar,967,967
Lalitpur,878,878
Lucknow,885,884
Maharajganj,932,932
Mahoba,861,861
Mainpuri,854,855
Mathura,835,835
Mau,993,994
Meerut,872,872
Mirzapur,894,895
Moradabad,873,872
Muzaffarnagar,871,871
Pilibhit,871,870
Pratapgarh,1015,1018
Rae Bareli,955,955
Rampur,876,874
Saharanpur,864,864
Sant Kabir Nagar,982,982
Sant Ravidas Nagar Bhadohi,921,923
Shahjahanpur,835,834
Shrawasti,907,908
Siddharthnagar,953,952
Sitapur,858,858
Sonbhadra,892,890
Sultanpur,987,989
Unnao,896,896
Varanasi,901,902
